,usd,usd_market_cap
binancecoin,214.96,33083526236.56539
bitcoin,25999.0,506286071171.03937
eos,0.58278,650945699.1778398
ethereum,1645.72,197941198456.48547
frax,0.997796,805213194.1448596
pax-gold,1899.71,473319353.22107875
tether,0.999802,82831854898.61159
tether-gold,1904.77,469626399.83662313
uniswap,4.71,3553344208.642843
usd-coin,1.0,25923883037.47687
